idx,wav_path,prompt_id,tts,emotion,emotion_pred,correct,top_score,eas,proto_margin,tsne_x,tsne_y,nn_space,nn_k,nn_impurity,nn_alt,nn_alt_frac,knn3_match
0,output/sentences/azure/fold_1_en-US-JennyNeural/38.wav,idx38,azure,happy,happy,True,0.94008565,0.8920175,0.14534092,-5.798398,27.292055,emb,10,0.3,surprised,1.0,True
1,output/sentences/azure/fold_2_en-US-DavisNeural/38.wav,idx38,azure,happy,happy,True,0.48528284,0.88569474,0.004436612,-11.095983,11.709274,emb,10,0.9,surprised,1.0,True
2,output/sentences/azure/fold_3_en-US-GuyNeural/38.wav,idx38,azure,happy,happy,True,0.9719573,0.93787754,0.18114609,-3.8316407,22.812819,emb,10,0.2,surprised,0.0,True
3,output/sentences/azure/fold_4_en-US-AriaNeural/38.wav,idx38,azure,happy,happy,True,0.9760952,0.88268906,0.22239643,-4.5526934,28.53471,emb,10,0.3,surprised,0.0,True
4,output/sentences/azure/fold_5_en-US-SaraNeural/38.wav,idx38,azure,happy,happy,True,0.8582633,0.87448597,0.09197348,-3.0038404,27.229815,emb,10,0.3,surprised,0.0,True
20,output/sentences/azure/fold_1_en-US-JennyNeural/14.wav,idx14,azure,disgusted,disgusted,True,0.944354,0.88228333,0.17072529,7.7254252,-6.8065085,emb,10,0.4,angry,1.0,True
21,output/sentences/azure/fold_2_en-US-DavisNeural/14.wav,idx14,azure,disgusted,disgusted,True,0.988997,0.8857502,0.26641625,4.202021,-21.857233,emb,10,0.4,angry,0.0,True
22,output/sentences/azure/fold_3_en-US-GuyNeural/14.wav,idx14,azure,disgusted,disgusted,True,0.99180776,0.88985217,0.2795419,3.1783364,-22.005793,emb,10,0.4,angry,0.0,True
23,output/sentences/azure/fold_4_en-US-AriaNeural/14.wav,idx14,azure,disgusted,disgusted,True,0.85437125,0.87034315,0.0950132,7.278145,-7.522732,emb,10,0.4,angry,1.0,True
24,output/sentences/azure/fold_5_en-US-SaraNeural/14.wav,idx14,azure,disgusted,disgusted,True,0.95232713,0.88866866,0.17911023,7.0494647,-8.566614,emb,10,0.4,angry,0.0,True
40,output/sentences/azure/fold_1_en-US-JennyNeural/51.wav,idx51,azure,sad,sad,True,0.9952554,0.8976073,0.3156192,28.815655,-11.627735,emb,10,0.1,angry,0.0,True
41,output/sentences/azure/fold_2_en-US-DavisNeural/51.wav,idx51,azure,sad,sad,True,0.90242517,0.91462135,0.111029744,20.652573,-18.94962,emb,10,0.1,angry,1.0,True
42,output/sentences/azure/fold_3_en-US-GuyNeural/51.wav,idx51,azure,sad,sad,True,0.9960135,0.92294055,0.29375315,25.481174,-8.79384,emb,10,0.2,angry,1.0,True
43,output/sentences/azure/fold_4_en-US-AriaNeural/51.wav,idx51,azure,sad,sad,True,0.57965827,0.8193434,0.040532887,29.1499,-10.089323,emb,10,0.1,angry,0.6666666666666666,True
44,output/sentences/azure/fold_5_en-US-SaraNeural/51.wav,idx51,azure,sad,sad,True,0.99754924,0.91616714,0.30828923,28.67053,-14.161181,emb,10,0.1,angry,0.0,True
60,output/sentences/azure/fold_1_en-US-JennyNeural/50.wav,idx50,azure,neutral,neutral,True,0.963986,0.89827347,0.18156642,19.192501,4.8995924,emb,10,0.2,angry,1.0,True
61,output/sentences/azure/fold_2_en-US-DavisNeural/50.wav,idx50,azure,neutral,happy,False,0.7299554,0.7960103,-0.051185608,8.723961,16.385763,emb,10,0.2,happy,1.0,True
62,output/sentences/azure/fold_3_en-US-GuyNeural/50.wav,idx50,azure,neutral,neutral,True,0.86031693,0.8849298,0.09179914,12.8845825,15.0173435,emb,10,0.1,disgusted,1.0,True
63,output/sentences/azure/fold_4_en-US-AriaNeural/50.wav,idx50,azure,neutral,neutral,True,0.9994128,0.94336677,0.38630676,18.64742,6.722038,emb,10,0.2,angry,1.0,True
64,output/sentences/azure/fold_5_en-US-SaraNeural/50.wav,idx50,azure,neutral,neutral,True,0.99894494,0.9438376,0.35911214,19.07788,6.2540765,emb,10,0.2,angry,1.0,True
80,output/sentences/azure/fold_1_en-US-JennyNeural/4.wav,idx4,azure,angry,angry,True,0.91348374,0.92088217,0.15053642,-39.893032,0.37990347,emb,10,0.5,fearful,0.0,True
81,output/sentences/azure/fold_2_en-US-DavisNeural/4.wav,idx4,azure,angry,angry,True,0.8949409,0.9156735,0.13616115,-41.466026,1.3076669,emb,10,0.5,fearful,1.0,True
82,output/sentences/azure/fold_3_en-US-GuyNeural/4.wav,idx4,azure,angry,angry,True,0.9053869,0.91258544,0.14401591,-42.137924,0.5178308,emb,10,0.5,fearful,1.0,True
83,output/sentences/azure/fold_4_en-US-AriaNeural/4.wav,idx4,azure,angry,angry,True,0.9420931,0.9179819,0.15599692,-41.71165,-0.9458112,emb,10,0.5,fearful,0.0,True
84,output/sentences/azure/fold_5_en-US-SaraNeural/4.wav,idx4,azure,angry,angry,True,0.93428326,0.90876734,0.1407305,-41.90487,-2.048195,emb,10,0.5,fearful,0.0,True
100,output/sentences/azure/fold_1_en-US-JennyNeural/66.wav,idx66,azure,surprised,surprised,True,0.5079395,0.8717592,0.027411044,-14.094102,11.518327,emb,10,0.2,happy,0.75,True
101,output/sentences/azure/fold_2_en-US-DavisNeural/66.wav,idx66,azure,surprised,surprised,True,0.3532892,0.8746178,0.011373758,-13.21303,4.864178,emb,10,0.4,fearful,1.0,True
102,output/sentences/azure/fold_3_en-US-GuyNeural/66.wav,idx66,azure,surprised,surprised,True,0.3736179,0.88991106,0.002709508,-13.780119,4.840088,emb,10,0.4,fearful,1.0,True
103,output/sentences/azure/fold_4_en-US-AriaNeural/66.wav,idx66,azure,surprised,happy,False,0.8299913,0.86139804,-0.081474245,-9.919697,23.344841,emb,10,0.8,happy,1.0,False
104,output/sentences/azure/fold_5_en-US-SaraNeural/66.wav,idx66,azure,surprised,surprised,True,0.5123969,0.896793,0.007849336,-16.467587,11.243369,emb,10,0.3,happy,0.8,True
120,output/sentences/azure/fold_1_en-US-JennyNeural/39.wav,idx39,azure,happy,happy,True,0.9403296,0.9014822,0.1441027,-5.741589,26.197302,emb,10,0.3,surprised,1.0,True
121,output/sentences/azure/fold_2_en-US-DavisNeural/39.wav,idx39,azure,happy,surprised,False,0.85372806,0.87109756,-0.10620248,-11.088015,9.661013,emb,10,0.9,surprised,0.8333333333333334,True
122,output/sentences/azure/fold_3_en-US-GuyNeural/39.wav,idx39,azure,happy,happy,True,0.95957583,0.93245924,0.15975344,-4.454891,23.353449,emb,10,0.2,surprised,1.0,True
123,output/sentences/azure/fold_4_en-US-AriaNeural/39.wav,idx39,azure,happy,happy,True,0.98665696,0.916085,0.23080051,-3.7506475,24.875204,emb,10,0.2,surprised,0.0,True
124,output/sentences/azure/fold_5_en-US-SaraNeural/39.wav,idx39,azure,happy,happy,True,0.98680645,0.9034622,0.25029355,-3.2156281,25.471273,emb,10,0.3,surprised,0.0,True
140,output/sentences/azure/fold_1_en-US-JennyNeural/16.wav,idx16,azure,disgusted,disgusted,True,0.56028116,0.8807155,0.021199286,8.292499,-4.5300393,emb,10,0.4,angry,0.6666666666666666,True
141,output/sentences/azure/fold_2_en-US-DavisNeural/16.wav,idx16,azure,disgusted,angry,False,0.7571278,0.8900379,-0.057249725,-36.364513,-6.425087,emb,10,1.0,angry,1.0,False
142,output/sentences/azure/fold_3_en-US-GuyNeural/16.wav,idx16,azure,disgusted,disgusted,True,0.76930094,0.8713691,0.06723726,6.862972,-5.0934486,emb,10,0.4,angry,1.0,True
143,output/sentences/azure/fold_4_en-US-AriaNeural/16.wav,idx16,azure,disgusted,neutral,False,0.9361643,0.82745814,-0.13882011,8.865717,-2.613046,emb,10,0.4,angry,0.6,True
144,output/sentences/azure/fold_5_en-US-SaraNeural/16.wav,idx16,azure,disgusted,neutral,False,0.72153074,0.86332893,-0.055172622,7.978347,-4.010262,emb,10,0.4,angry,1.0,True
160,output/sentences/azure/fold_1_en-US-JennyNeural/28.wav,idx28,azure,fearful,fearful,True,0.8808356,0.9316675,0.10402596,-16.952976,-4.3443584,emb,10,0.1,surprised,0.0,True
161,output/sentences/azure/fold_2_en-US-DavisNeural/28.wav,idx28,azure,fearful,fearful,True,0.7069479,0.91596675,0.04523617,-18.29544,-1.0140536,emb,10,0.1,surprised,1.0,True
162,output/sentences/azure/fold_3_en-US-GuyNeural/28.wav,idx28,azure,fearful,fearful,True,0.5445852,0.9135823,0.013542652,-17.48883,-0.12450768,emb,10,0.1,surprised,1.0,True
163,output/sentences/azure/fold_4_en-US-AriaNeural/28.wav,idx28,azure,fearful,fearful,True,0.9835728,0.9282018,0.2237742,-19.65757,-5.0255084,emb,10,0.1,surprised,0.0,True
164,output/sentences/azure/fold_5_en-US-SaraNeural/28.wav,idx28,azure,fearful,fearful,True,0.9747073,0.9243517,0.19396776,-19.999931,-4.4674644,emb,10,0.1,surprised,0.0,True
180,output/sentences/azure/fold_1_en-US-JennyNeural/8.wav,idx8,azure,angry,angry,True,0.67675835,0.9005826,0.046882153,-34.920494,-6.711532,emb,10,0.5,fearful,1.0,True
181,output/sentences/azure/fold_2_en-US-DavisNeural/8.wav,idx8,azure,angry,disgusted,False,0.8812724,0.81915194,-0.12016475,12.010148,-8.518178,emb,10,0.7,disgusted,1.0,True
182,output/sentences/azure/fold_3_en-US-GuyNeural/8.wav,idx8,azure,angry,sad,False,0.9187265,0.79144394,-0.20141375,15.290953,-7.263914,emb,10,0.7,disgusted,1.0,True
183,output/sentences/azure/fold_4_en-US-AriaNeural/8.wav,idx8,azure,angry,angry,True,0.6436171,0.88728166,0.030494452,11.252968,-6.698342,emb,10,0.7,disgusted,0.5,True
184,output/sentences/azure/fold_5_en-US-SaraNeural/8.wav,idx8,azure,angry,sad,False,0.72977513,0.78803426,-0.119053125,15.635136,-6.652849,emb,10,0.7,disgusted,1.0,True
200,output/sentences/azure/fold_1_en-US-JennyNeural/47.wav,idx47,azure,neutral,neutral,True,0.99648213,0.89509654,0.31337184,20.025873,13.118528,emb,10,0.1,disgusted,0.0,True
201,output/sentences/azure/fold_2_en-US-DavisNeural/47.wav,idx47,azure,neutral,neutral,True,0.54719996,0.8273618,0.013208389,20.55398,16.275892,emb,10,0.1,disgusted,1.0,True
202,output/sentences/azure/fold_3_en-US-GuyNeural/47.wav,idx47,azure,neutral,neutral,True,0.81034696,0.8416998,0.076753795,20.236607,15.714514,emb,10,0.1,disgusted,1.0,True
203,output/sentences/azure/fold_4_en-US-AriaNeural/47.wav,idx47,azure,neutral,neutral,True,0.99904066,0.93256724,0.35392708,19.539928,7.1605697,emb,10,0.1,angry,1.0,True
204,output/sentences/azure/fold_5_en-US-SaraNeural/47.wav,idx47,azure,neutral,neutral,True,0.9935959,0.8899834,0.28910995,19.673946,13.8941765,emb,10,0.1,disgusted,0.0,True
220,output/sentences/azure/fold_1_en-US-JennyNeural/26.wav,idx26,azure,fearful,fearful,True,0.94404167,0.9397913,0.15190619,-17.04465,-2.4681494,emb,10,0.1,surprised,0.0,True
221,output/sentences/azure/fold_2_en-US-DavisNeural/26.wav,idx26,azure,fearful,fearful,True,0.9718088,0.94283175,0.18094915,-18.439772,-2.3782582,emb,10,0.1,surprised,0.0,True
222,output/sentences/azure/fold_3_en-US-GuyNeural/26.wav,idx26,azure,fearful,fearful,True,0.79655904,0.92465025,0.07279223,-17.113743,-1.068127,emb,10,0.1,surprised,1.0,True
223,output/sentences/azure/fold_4_en-US-AriaNeural/26.wav,idx26,azure,fearful,fearful,True,0.9247465,0.93641764,0.14743817,-16.184858,-1.8678977,emb,10,0.1,surprised,1.0,True
224,output/sentences/azure/fold_5_en-US-SaraNeural/26.wav,idx26,azure,fearful,fearful,True,0.9707163,0.93487155,0.21635097,-15.491893,-2.2286694,emb,10,0.1,surprised,0.0,True
240,output/sentences/azure/fold_1_en-US-JennyNeural/68.wav,idx68,azure,surprised,angry,False,0.89369166,0.86114174,-0.14184517,-15.653204,5.108619,emb,10,0.4,fearful,0.6666666666666666,True
241,output/sentences/azure/fold_2_en-US-DavisNeural/68.wav,idx68,azure,surprised,surprised,True,0.49677533,0.89150524,0.038534164,-12.830158,6.5004387,emb,10,0.4,fearful,0.75,True
242,output/sentences/azure/fold_3_en-US-GuyNeural/68.wav,idx68,azure,surprised,surprised,True,0.46614245,0.8906876,0.014257252,-12.144641,7.73427,emb,10,0.4,fearful,0.8,True
243,output/sentences/azure/fold_4_en-US-AriaNeural/68.wav,idx68,azure,surprised,surprised,True,0.49017426,0.8850579,0.002166152,-10.453587,22.245214,emb,10,0.8,happy,1.0,True
244,output/sentences/azure/fold_5_en-US-SaraNeural/68.wav,idx68,azure,surprised,surprised,True,0.9619518,0.92533076,0.22742546,-17.845354,17.597734,emb,10,0.2,happy,0.0,True
260,output/sentences/azure/fold_1_en-US-JennyNeural/59.wav,idx59,azure,sad,sad,True,0.99891794,0.8986454,0.38334283,29.242401,-13.102148,emb,10,0.1,angry,0.0,True
261,output/sentences/azure/fold_2_en-US-DavisNeural/59.wav,idx59,azure,sad,sad,True,0.9159806,0.8873688,0.12291652,20.26984,-19.075104,emb,10,0.1,angry,1.0,True
262,output/sentences/azure/fold_3_en-US-GuyNeural/59.wav,idx59,azure,sad,sad,True,0.9991217,0.9222226,0.4009688,26.379387,-9.024397,emb,10,0.2,angry,0.0,True
263,output/sentences/azure/fold_4_en-US-AriaNeural/59.wav,idx59,azure,sad,sad,True,0.9896408,0.8836591,0.2652942,29.46477,-11.726375,emb,10,0.1,angry,1.0,True
264,output/sentences/azure/fold_5_en-US-SaraNeural/59.wav,idx59,azure,sad,sad,True,0.99891734,0.9070822,0.3474649,28.52005,-16.212587,emb,10,0.1,angry,0.0,True
